Acc_Species_Name,South.Western.Ghats.Montane.Rain.Forests,South.Deccan.Plateau.Dry.Deciduous.Forests,Brahmaputra.Valley.Semi-Evergreen.Forests,Western.Himalayan.Broadleaf.Forests,Karakoram-West.Tibetan.Plateau.Alpine.Steppe,Malabar.Coast.Moist.Forests,Deccan.Thorn.Scrub.Forests,South.Western.Ghats.Moist.Deciduous.Forests,East.Deccan.Dry-Evergreen.Forests,Goadavari.Krishna.Mangroves,North.Western.Ghats.Moist.Deciduous.Forests,North.Western.Ghats.Montane.Rain.Forests,Central.Deccan.Plateau.Dry.Deciduous.Forests,Eastern.Highlands.Moist.Deciduous.Forests,Narmada.Valley.Dry.Deciduous.Forests,Northern.Dry.Deciduous.Forests,Orissa.Semi.Evergreen.Forests,Khathiar.Gir.Dry.Deciduous.Forests,Lower.Gangetic.Plains.Moist.Deciduous.Forests,Indus.River.Delta.Arabian.Sea.Mangroves,Chhota.Nagpur.Dry.Deciduous.Forests,Northwestern.Thorn.Scrub.Forests,Sundarbans.Freshwater.Swamp.Forests,Mizoram.Manipur.Kachin.Rain.Forests,Upper.Gangetic.Plains.Moist.Deciduous.Forests,Meghalaya.Subtropical.Forests,Terai.Duar.Savanna.And.Grasslands,Thar.Desert,Himalayan.Subtropical.Broadleaf.Forests,Himalayan.Subtropical.Pine.Forests,Eastern.Himalayan.Broadleaf.Forests,Sundarbans.Mangroves,Northwestern.Himalayan.Alpine.Shrub.And.Meadows,Western.Himalayan.Subalpine.Conifer.Forests,Rock.And.Ice.Palearctic,Western.Himalayan.Alpine.Shrub.And.Meadows,Andaman.Islands.Rain.Forests,Northeast.India.Myanmar.Pine.Forests,Eastern.Himalayan.Subalpine.Conifer.Forests,Nicobar.Islands.Rain.Forests,Rann.Of.Kutch.Seasonal.Salt.Marsh,Northeastern.Himalayan.Subalpine.Conifer.Forests,Source
Acacia retinodes Schltdl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia richii A.Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia saligna (Labill.) H.L.Wendl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia senegal (L.) Willd.,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,"Olson, D. M., et al. 2001. Terrestrial Ecoregions of the World: A New Map of Life on Earth A new global map of terrestrial ecoregions provides an innovative tool for conserving biodiversity. - Bioscience 51: 933-938."
Acacia sphaerocephala Cham. & Schltdl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia truncata Hoffmanns.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia verticillata (L'Her.) Willd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acalypha ciliata Forssk.,,1,,,,,1,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,"Olson, D. M., et al. 2001. Terrestrial Ecoregions of the World: A New Map of Life on Earth A new global map of terrestrial ecoregions provides an innovative tool for conserving biodiversity. - Bioscience 51: 933-938."
Acanthospermum hispidum DC.,,1,,,,1,1,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,"Olson, D. M., et al. 2001. Terrestrial Ecoregions of the World: A New Map of Life on Earth A new global map of terrestrial ecoregions provides an innovative tool for conserving biodiversity. - Bioscience 51: 933-938."
Acanthus mollis L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthus montanus (Nees) T.Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
